"row.names" "chrom" "begin" "end" "count_rpt" "length_rpt" "count_SINE" "length_SINE" "count_DNA" "length_DNA" "count_TcM" "length_TcM" "count_LINE" "length_LINE" "count_LTR" "length_LTR" "count_nonLTR" "length_nonLTR" "count_simple" "length_simple" "count_gene" "length_gene" "count_gene_ex" "length_gene_ex" "chr_type" "gene_ex_bin"
"563" "60" "LR999927.1" 6e+06 6100000 93 10651 15 3604 4 407 0 0 5 543 0 0 4 572 22 1025 0 0 0 0 "Autosome" "0"
"564" "61" "LR999927.1" 6100000 6200000 68 5869 5 383 2 297 0 0 7 1462 0 0 3 290 26 1197 6 16730 0 0 "Autosome" "0"
"565" "62" "LR999927.1" 6200000 6300000 42 5482 5 431 1 90 0 0 1 181 5 2895 3 428 15 619 1 1564 0 0 "Autosome" "0"
"566" "63" "LR999927.1" 6300000 6400000 118 12941 5 872 10 810 0 0 10 1212 0 0 12 4134 44 2009 3 12985 0 0 "Autosome" "0"
"567" "64" "LR999927.1" 6400000 6500000 117 16822 12 3260 11 2809 1 92 7 2827 0 0 7 1907 46 2114 5 13123 0 0 "Autosome" "0"
"568" "65" "LR999927.1" 6500000 6600000 78 12000 8 2100 2 94 0 0 10 1733 0 0 12 5551 27 1092 1 7904 0 0 "Autosome" "0"
"569" "66" "LR999927.1" 6600000 6700000 72 6528 7 1243 2 168 0 0 7 882 0 0 5 749 34 1434 1 11288 0 0 "Autosome" "0"
"570" "67" "LR999927.1" 6700000 6800000 109 16972 16 3396 7 1336 0 0 10 2417 3 3768 7 1375 25 1035 2 5471 0 0 "Autosome" "0"
"571" "68" "LR999927.1" 6800000 6900000 89 12008 11 2708 6 612 1 52 9 1022 0 0 9 3846 31 1312 0 0 0 0 "Autosome" "0"
"572" "69" "LR999927.1" 6900000 7e+06 109 13901 6 920 10 2522 0 0 6 1522 2 92 7 2042 37 1534 11 43240 0 0 "Autosome" "0"
"573" "70" "LR999927.1" 7e+06 7100000 111 14096 8 1563 16 3557 0 0 4 535 0 0 3 582 27 1114 1 2375 0 0 "Autosome" "0"
"574" "71" "LR999927.1" 7100000 7200000 114 13472 22 3389 11 2480 0 0 9 1709 0 0 6 904 29 1154 4 5695 0 0 "Autosome" "0"
"575" "72" "LR999927.1" 7200000 7300000 130 15197 16 2674 9 995 2 247 10 1564 0 0 5 2082 37 1453 1 1061 0 0 "Autosome" "0"
"576" "73" "LR999927.1" 7300000 7400000 107 15399 18 3137 11 1005 1 47 2 282 2 3476 6 1550 27 1272 2 8073 0 0 "Autosome" "0"
"577" "74" "LR999927.1" 7400000 7500000 91 16319 4 852 13 2956 4 1720 4 644 6 4223 7 3618 28 1219 8 26542 0 0 "Autosome" "0"
"578" "75" "LR999927.1" 7500000 7600000 91 14575 17 3006 2 222 0 0 3 209 3 2690 10 1890 31 1259 0 0 0 0 "Autosome" "0"
"579" "76" "LR999927.1" 7600000 7700000 151 23118 24 4856 14 3182 1 511 10 2445 6 4103 10 1784 31 1383 2 9126 0 0 "Autosome" "0"
"580" "77" "LR999927.1" 7700000 7800000 168 28839 18 2862 14 3061 1 102 9 2259 7 4807 34 8446 36 1718 1 16706 0 0 "Autosome" "0"
"581" "78" "LR999927.1" 7800000 7900000 145 25561 23 4422 20 7152 0 0 7 551 8 4330 8 1266 35 1537 1 879 1 2624 "Autosome" "1"
"582" "79" "LR999927.1" 7900000 8e+06 129 13453 26 4266 6 1062 0 0 7 1172 2 235 15 2647 44 1626 1 8958 0 0 "Autosome" "0"
"583" "80" "LR999927.1" 8e+06 8100000 212 27381 30 5027 18 1787 3 459 15 2024 3 608 12 3708 37 1662 0 0 0 0 "Autosome" "0"
"584" "81" "LR999927.1" 8100000 8200000 147 18662 22 3836 13 2318 0 0 15 1948 8 2204 13 2722 28 1130 1 8734 0 0 "Autosome" "0"
"585" "82" "LR999927.1" 8200000 8300000 124 12624 27 4872 8 1750 0 0 4 443 4 181 2 153 42 1779 0 0 0 0 "Autosome" "0"
"586" "83" "LR999927.1" 8300000 8400000 122 16165 22 3894 11 2651 0 0 6 743 2 164 12 2392 35 1562 7 31977 0 0 "Autosome" "0"
"587" "84" "LR999927.1" 8400000 8500000 140 24098 19 3717 9 1175 0 0 10 3242 1 42 15 9520 29 1121 6 33109 0 0 "Autosome" "0"
"588" "85" "LR999927.1" 8500000 8600000 146 29796 26 4896 15 5198 3 1654 7 2208 2 3477 20 5974 22 1011 2 17471 0 0 "Autosome" "0"
"589" "86" "LR999927.1" 8600000 8700000 155 23860 22 4475 14 4557 0 0 13 5006 2 116 12 2615 31 1351 0 0 0 0 "Autosome" "0"
"590" "87" "LR999927.1" 8700000 8800000 155 18634 29 5209 6 1093 0 0 10 1542 2 156 11 3202 42 1764 0 0 0 0 "Autosome" "0"
"591" "88" "LR999927.1" 8800000 8900000 142 26814 25 4614 11 2245 1 71 16 9989 0 0 17 4824 31 1284 1 911 0 0 "Autosome" "0"
"592" "89" "LR999927.1" 8900000 9e+06 164 21109 28 5684 8 1250 0 0 10 1864 1 77 16 4657 34 1401 2 8062 0 0 "Autosome" "0"
"593" "90" "LR999927.1" 9e+06 9100000 154 28911 23 4605 5 472 0 0 9 954 6 4944 20 8925 30 1243 4 5573 1 422 "Autosome" "1"
"594" "91" "LR999927.1" 9100000 9200000 127 19808 19 3837 12 2140 0 0 12 4158 4 1243 14 2315 28 1012 5 29900 0 0 "Autosome" "0"
"595" "92" "LR999927.1" 9200000 9300000 128 22710 19 3992 7 2057 1 1069 7 1050 0 0 14 9360 33 1285 6 15269 0 0 "Autosome" "0"
"596" "93" "LR999927.1" 9300000 9400000 151 21866 22 4501 6 522 0 0 10 3154 0 0 21 6153 35 1572 1 3047 0 0 "Autosome" "0"
"597" "94" "LR999927.1" 9400000 9500000 183 25597 30 5832 25 6662 0 0 4 302 1 57 13 1943 36 1497 2 6959 0 0 "Autosome" "0"
"598" "95" "LR999927.1" 9500000 9600000 155 20449 27 4764 9 2226 0 0 6 782 8 4384 9 1493 34 1509 0 0 0 0 "Autosome" "0"
"599" "96" "LR999927.1" 9600000 9700000 150 18847 28 5120 13 2210 1 413 8 2078 1 78 8 1594 30 1323 0 0 0 0 "Autosome" "0"
"600" "97" "LR999927.1" 9700000 9800000 97 10144 20 3639 4 350 0 0 2 326 0 0 5 715 21 821 4 6087 0 0 "Autosome" "0"
"601" "98" "LR999927.1" 9800000 9900000 141 17144 17 3453 4 617 0 0 10 2028 2 202 13 2521 36 1697 6 15629 0 0 "Autosome" "0"
"602" "99" "LR999927.1" 9900000 1e+07 163 18885 16 3187 23 1993 0 0 11 3530 2 158 11 2271 39 1671 4 16047 0 0 "Autosome" "0"
"603" "100" "LR999927.1" 1e+07 10100000 129 13459 12 2307 7 900 1 325 2 393 1 77 10 1378 42 1715 9 29124 0 0 "Autosome" "0"
"604" "101" "LR999927.1" 10100000 10200000 168 20582 25 5248 17 1093 0 0 4 524 0 0 10 3979 24 856 0 0 0 0 "Autosome" "0"
"605" "102" "LR999927.1" 10200000 10300000 156 18039 33 6639 13 2159 0 0 14 1387 1 53 17 2543 33 1425 4 18624 0 0 "Autosome" "0"
"606" "103" "LR999927.1" 10300000 10400000 196 27181 36 5687 16 1689 2 143 6 631 1 36 21 8117 32 1333 1 1431 0 0 "Autosome" "0"
"607" "104" "LR999927.1" 10400000 10500000 145 21117 22 4805 8 2127 3 803 11 1484 2 146 24 5231 33 1402 3 14621 0 0 "Autosome" "0"
"608" "105" "LR999927.1" 10500000 10600000 178 21372 30 5368 11 1919 2 200 4 568 4 626 20 2323 34 1489 0 0 0 0 "Autosome" "0"
"609" "106" "LR999927.1" 10600000 10700000 158 16768 31 6398 10 1074 0 0 6 666 4 274 12 1137 27 1167 3 3771 0 0 "Autosome" "0"
"610" "107" "LR999927.1" 10700000 10800000 216 31715 25 4828 20 3653 0 0 16 5336 2 148 25 7042 37 1558 0 0 0 0 "Autosome" "0"
"611" "108" "LR999927.1" 10800000 10900000 177 29321 31 4711 10 1372 0 0 10 1361 7 5788 18 7029 34 1413 0 0 0 0 "Autosome" "0"
"612" "109" "LR999927.1" 10900000 1.1e+07 204 32235 27 5372 22 7156 0 0 9 2465 7 1569 27 6168 39 1558 1 1796 0 0 "Autosome" "0"
"613" "110" "LR999927.1" 1.1e+07 11100000 201 24133 26 4801 28 4240 0 0 10 2412 2 87 7 782 36 1510 1 1436 0 0 "Autosome" "0"
"614" "111" "LR999927.1" 11100000 11200000 194 27915 12 3084 16 3139 0 0 8 2101 6 932 31 8053 38 1744 0 0 0 0 "Autosome" "0"
"615" "112" "LR999927.1" 11200000 11300000 133 14538 8 1787 13 2157 1 113 14 1511 1 88 15 2216 40 1937 5 11379 0 0 "Autosome" "0"
"616" "113" "LR999927.1" 11300000 11400000 247 29247 31 5530 18 2910 2 259 8 1080 2 172 19 2577 32 1316 3 26543 0 0 "Autosome" "0"
"617" "114" "LR999927.1" 11400000 11500000 166 27472 24 4122 11 952 0 0 11 4338 6 1027 15 9585 35 1433 1 3655 0 0 "Autosome" "0"
"618" "115" "LR999927.1" 11500000 11600000 120 20873 19 3854 2 152 0 0 8 1003 2 83 15 10243 27 1243 2 7293 0 0 "Autosome" "0"
"619" "116" "LR999927.1" 11600000 11700000 155 18015 33 5285 7 528 0 0 6 804 2 199 21 4177 30 1108 0 0 0 0 "Autosome" "0"
"620" "117" "LR999927.1" 11700000 11800000 141 15858 20 3747 12 859 2 258 7 1086 1 61 9 2395 27 1059 0 0 0 0 "Autosome" "0"
"621" "118" "LR999927.1" 11800000 11900000 129 17312 34 6084 7 630 0 0 13 1533 3 2063 15 3646 30 1236 0 0 0 0 "Autosome" "0"
"622" "119" "LR999927.1" 11900000 1.2e+07 141 20476 27 5727 7 773 0 0 12 1525 2 188 10 6036 29 1112 0 0 0 0 "Autosome" "0"
"623" "120" "LR999927.1" 1.2e+07 12100000 110 11668 27 5402 5 385 0 0 4 534 1 55 5 685 26 1020 0 0 0 0 "Autosome" "0"
"624" "121" "LR999927.1" 12100000 12200000 161 27242 25 4965 7 1116 2 184 15 3333 1 38 19 11275 33 1433 1 2799 0 0 "Autosome" "0"
"625" "122" "LR999927.1" 12200000 12300000 175 18104 26 4278 7 650 0 0 9 1121 12 2307 16 1662 30 1234 2 8275 0 0 "Autosome" "0"
"626" "123" "LR999927.1" 12300000 12400000 202 23208 46 7688 14 2085 2 148 17 2789 1 54 10 1154 32 1425 0 0 0 0 "Autosome" "0"
"627" "124" "LR999927.1" 12400000 12500000 170 22461 18 3392 14 1402 2 241 2 289 2 173 17 5718 43 1938 3 11350 0 0 "Autosome" "0"
"628" "125" "LR999927.1" 12500000 12600000 124 18999 16 3434 23 3836 3 472 5 3331 0 0 12 2805 24 1121 1 8934 0 0 "Autosome" "0"
"629" "126" "LR999927.1" 12600000 12700000 143 16006 28 4545 7 2596 0 0 6 880 0 0 9 1230 32 1274 0 0 0 0 "Autosome" "0"
"630" "127" "LR999927.1" 12700000 12800000 134 15316 27 5515 5 1384 0 0 7 895 1 202 11 1120 28 1147 0 0 0 0 "Autosome" "0"
"631" "128" "LR999927.1" 12800000 12900000 171 20828 30 5155 6 716 1 101 7 819 3 1612 15 3318 34 1376 0 0 0 0 "Autosome" "0"
"632" "129" "LR999927.1" 12900000 1.3e+07 112 15438 21 4221 1 55 0 0 6 959 2 157 14 4712 27 1221 0 0 0 0 "Autosome" "0"
"633" "130" "LR999927.1" 1.3e+07 13100000 179 22796 41 6449 9 681 0 0 15 2144 1 85 24 6224 32 1300 0 0 1 920 "Autosome" "1"
"634" "131" "LR999927.1" 13100000 13200000 143 17153 35 6450 8 1593 0 0 6 1761 3 220 11 1239 24 906 0 0 0 0 "Autosome" "0"
"635" "132" "LR999927.1" 13200000 13300000 169 20162 35 6793 8 1794 0 0 8 1211 4 309 23 3201 33 1383 0 0 0 0 "Autosome" "0"
"636" "133" "LR999927.1" 13300000 13400000 166 16854 36 6219 8 787 1 312 6 990 1 99 18 2005 43 1820 0 0 0 0 "Autosome" "0"
"637" "134" "LR999927.1" 13400000 13500000 180 26071 34 6468 19 2518 0 0 7 3922 3 241 23 3592 20 805 0 0 0 0 "Autosome" "0"
"638" "135" "LR999927.1" 13500000 13600000 155 19856 32 5674 7 378 0 0 8 1060 2 155 18 5511 40 1898 0 0 0 0 "Autosome" "0"
"639" "136" "LR999927.1" 13600000 13700000 204 25755 28 4603 15 1543 0 0 13 1531 2 178 15 4338 32 1238 0 0 0 0 "Autosome" "0"
"640" "137" "LR999927.1" 13700000 13800000 160 21595 32 6662 7 614 0 0 5 3207 2 834 15 2726 29 1263 2 6027 0 0 "Autosome" "0"
"641" "138" "LR999927.1" 13800000 13900000 158 16168 33 6181 11 1003 0 0 8 944 2 136 7 1118 34 1432 0 0 0 0 "Autosome" "0"
"642" "139" "LR999927.1" 13900000 1.4e+07 132 17787 26 5549 8 749 0 0 7 4244 0 0 15 1687 27 983 0 0 0 0 "Autosome" "0"
"643" "140" "LR999927.1" 1.4e+07 14100000 165 17926 28 5904 18 2281 1 571 5 729 0 0 15 1618 31 1009 0 0 0 0 "Autosome" "0"
"644" "141" "LR999927.1" 14100000 14200000 149 19201 28 5189 16 1659 0 0 8 3052 2 133 16 3515 34 1607 14 51846 0 0 "Autosome" "0"
"645" "142" "LR999927.1" 14200000 14300000 173 22957 36 7417 11 1296 0 0 11 4570 2 308 16 2460 39 1658 4 35397 1 1121 "Autosome" "1"
"646" "143" "LR999927.1" 14300000 14400000 225 31111 45 7296 7 560 1 40 10 1520 10 4390 31 7273 38 1353 0 0 0 0 "Autosome" "0"
"647" "144" "LR999927.1" 14400000 14500000 240 33256 45 7080 12 818 1 71 19 5500 1 48 38 9878 37 1430 1 4027 0 0 "Autosome" "0"
"648" "145" "LR999927.1" 14500000 14600000 225 32723 42 8181 17 2826 0 0 22 4343 5 565 34 8969 35 1177 0 0 0 0 "Autosome" "0"
"649" "146" "LR999927.1" 14600000 14700000 194 27777 39 5298 16 3446 0 0 15 4407 3 3258 18 1628 38 1487 0 0 0 0 "Autosome" "0"
"650" "147" "LR999927.1" 14700000 14800000 212 38032 41 6196 34 6225 6 667 17 6893 0 0 24 10101 26 1116 2 39636 0 0 "Autosome" "0"
"651" "148" "LR999927.1" 14800000 14900000 224 34933 60 10344 12 811 0 0 10 4408 0 0 27 8296 25 1128 0 0 0 0 "Autosome" "0"
"652" "149" "LR999927.1" 14900000 1.5e+07 187 40118 45 7738 18 3778 1 51 11 4349 6 4371 23 11484 19 807 0 0 0 0 "Autosome" "0"
"653" "150" "LR999927.1" 1.5e+07 15100000 200 25250 39 6928 14 1601 0 0 5 914 1 76 26 3306 27 1045 8 47814 0 0 "Autosome" "0"
"654" "151" "LR999927.1" 15100000 15200000 240 29005 40 8207 16 2809 1 570 11 4290 1 60 26 3333 58 1763 5 36349 0 0 "Autosome" "0"
"655" "152" "LR999927.1" 15200000 15300000 171 19529 30 4862 13 1302 0 0 4 450 2 167 21 4005 16 638 0 0 0 0 "Autosome" "0"
"656" "153" "LR999927.1" 15300000 15400000 133 14363 33 5314 7 1923 1 497 7 748 1 77 19 2340 37 1556 0 0 0 0 "Autosome" "0"
"657" "154" "LR999927.1" 15400000 15500000 211 31546 31 6407 18 2619 0 0 18 5944 4 641 26 7084 28 1280 0 0 0 0 "Autosome" "0"
"658" "155" "LR999927.1" 15500000 15600000 162 25668 31 5064 7 869 0 0 10 1787 4 3890 11 4205 27 1004 4 21396 0 0 "Autosome" "0"
"659" "156" "LR999927.1" 15600000 15700000 157 17658 25 4513 17 3704 0 0 5 472 1 34 12 1461 41 1920 3 13927 0 0 "Autosome" "0"
"660" "157" "LR999927.1" 15700000 15800000 128 17354 12 2239 13 2137 3 1007 6 646 3 3285 11 1639 21 905 7 11491 0 0 "Autosome" "0"
"661" "158" "LR999927.1" 15800000 15900000 200 22196 33 5004 9 1117 0 0 11 911 2 121 23 4766 43 1906 4 25484 2 15033 "Autosome" "1"
"662" "159" "LR999927.1" 15900000 1.6e+07 149 16414 18 2179 7 536 0 0 8 2122 1 78 17 2681 34 1339 9 42881 0 0 "Autosome" "0"
"663" "160" "LR999927.1" 1.6e+07 16090551 114 19076 5 504 9 1472 0 0 11 3727 16 3697 15 2745 38 5011 9 24738 0 0 "Autosome" "0"
"664" "0" "LR999928.1" 1 1e+05 118 17373 8 1778 5 517 0 0 3 319 16 4506 13 3442 36 2265 0 0 0 0 "Autosome" "0"
"665" "1" "LR999928.1" 100001 2e+05 164 25045 25 4726 11 1460 0 0 5 651 5 4452 18 3966 25 885 0 0 0 0 "Autosome" "0"
"666" "2" "LR999928.1" 200001 3e+05 189 27440 34 7538 12 1515 0 0 8 1124 6 4965 13 3145 40 1444 0 0 0 0 "Autosome" "0"
"667" "3" "LR999928.1" 300001 4e+05 199 29241 42 8507 11 997 1 124 12 6363 6 537 26 4808 27 1205 0 0 0 0 "Autosome" "0"
"668" "4" "LR999928.1" 400001 5e+05 208 32433 32 5825 15 2237 0 0 10 3177 3 217 26 8140 28 871 0 0 0 0 "Autosome" "0"
"669" "5" "LR999928.1" 500001 6e+05 216 27872 32 5718 23 2807 0 0 7 2156 2 242 17 2503 35 1372 4 7089 0 0 "Autosome" "0"
"670" "6" "LR999928.1" 600001 7e+05 156 21099 37 6603 2 99 0 0 7 676 3 227 18 5825 27 1281 4 14020 0 0 "Autosome" "0"
"671" "7" "LR999928.1" 700001 8e+05 214 28823 53 10159 15 2549 4 1540 9 1465 3 190 20 5036 36 1434 1 785 0 0 "Autosome" "0"
"672" "8" "LR999928.1" 800001 9e+05 175 27331 28 5522 13 1951 0 0 12 2462 11 5567 21 3822 27 1090 1 8688 0 0 "Autosome" "0"
"673" "9" "LR999928.1" 900001 1e+06 165 21645 29 4993 16 3665 0 0 6 1216 1 52 18 2976 38 1426 6 19294 0 0 "Autosome" "0"
"674" "10" "LR999928.1" 1e+06 1100000 197 34809 29 5539 15 1292 0 0 12 5297 6 4558 21 7308 37 1440 5 36662 0 0 "Autosome" "0"
"675" "11" "LR999928.1" 1100000 1200000 175 27648 16 3084 18 3536 1 310 1 175 18 8444 17 4690 46 2064 5 31724 0 0 "Autosome" "0"
"676" "12" "LR999928.1" 1200000 1300000 200 23971 25 5280 15 4128 0 0 9 1267 2 92 13 1288 30 1043 2 10348 0 0 "Autosome" "0"
"677" "13" "LR999928.1" 1300000 1400000 210 31697 39 7235 21 2383 1 427 17 4654 2 140 23 6883 28 906 0 0 0 0 "Autosome" "0"
"678" "14" "LR999928.1" 1400000 1500000 184 24816 34 6047 12 1016 1 41 9 2251 0 0 23 5985 29 1147 3 12382 0 0 "Autosome" "0"
"679" "15" "LR999928.1" 1500000 1600000 190 31053 31 5164 13 1814 0 0 20 10737 1 69 12 3098 38 1789 1 8075 1 4337 "Autosome" "1"
"680" "16" "LR999928.1" 1600000 1700000 205 27546 41 7242 11 1998 0 0 9 2711 5 721 21 4474 35 1552 1 14347 0 0 "Autosome" "0"
"681" "17" "LR999928.1" 1700000 1800000 214 27507 43 8096 14 2322 1 486 14 2368 11 2256 17 2165 32 1231 0 0 0 0 "Autosome" "0"
"682" "18" "LR999928.1" 1800000 1900000 185 21108 42 7127 9 1792 0 0 10 2784 1 79 18 1825 37 1326 4 20345 0 0 "Autosome" "0"
"683" "19" "LR999928.1" 1900000 2e+06 176 21297 34 6112 10 1392 0 0 5 624 1 88 16 3259 31 1282 3 20118 0 0 "Autosome" "0"
"684" "20" "LR999928.1" 2e+06 2100000 187 21103 38 5628 8 703 0 0 5 871 4 264 25 4804 33 1196 1 14974 0 0 "Autosome" "0"
"685" "21" "LR999928.1" 2100000 2200000 132 23356 22 4248 5 2269 1 1589 7 4017 0 0 21 6870 30 1187 3 3941 0 0 "Autosome" "0"
"686" "22" "LR999928.1" 2200000 2300000 217 30698 27 4801 16 3076 1 510 19 5673 1 250 19 2880 35 1499 2 9609 0 0 "Autosome" "0"
"687" "23" "LR999928.1" 2300000 2400000 204 28645 35 7413 21 6012 2 247 9 908 1 89 26 4371 34 1342 0 0 0 0 "Autosome" "0"
"688" "24" "LR999928.1" 2400000 2500000 164 25754 42 6361 8 2089 0 0 11 5176 2 219 24 6778 36 1638 2 5712 0 0 "Autosome" "0"
"689" "25" "LR999928.1" 2500000 2600000 118 22664 26 4744 4 1610 0 0 5 4906 1 71 13 7226 31 1184 2 16913 0 0 "Autosome" "0"
"690" "26" "LR999928.1" 2600000 2700000 131 17551 22 3418 5 596 0 0 7 3735 2 108 13 3905 37 1701 2 5965 0 0 "Autosome" "0"
"691" "27" "LR999928.1" 2700000 2800000 99 10071 12 2388 2 273 0 0 5 809 2 140 11 1484 31 1407 2 9612 0 0 "Autosome" "0"
"692" "28" "LR999928.1" 2800000 2900000 107 10669 16 2510 6 375 0 0 3 270 0 0 6 783 27 1127 0 0 0 0 "Autosome" "0"
"693" "29" "LR999928.1" 2900000 3e+06 134 14607 28 5208 10 742 1 50 6 850 1 34 15 1543 21 779 0 0 0 0 "Autosome" "0"
"694" "30" "LR999928.1" 3e+06 3100000 123 15433 19 2835 17 2101 2 1316 7 1980 2 60 7 3256 27 1134 0 0 0 0 "Autosome" "0"
"695" "31" "LR999928.1" 3100000 3200000 128 24119 17 3601 6 2779 1 69 7 1322 4 2714 18 5176 46 2524 10 31351 0 0 "Autosome" "0"
"696" "32" "LR999928.1" 3200000 3300000 157 19177 32 6486 9 1743 0 0 10 1426 1 629 14 2147 44 1813 5 32375 0 0 "Autosome" "0"
"697" "33" "LR999928.1" 3300000 3400000 174 20963 26 4145 10 538 0 0 8 1724 2 98 14 4801 30 1200 0 0 0 0 "Autosome" "0"
"698" "34" "LR999928.1" 3400000 3500000 170 27185 30 5282 11 1115 1 67 10 2112 2 113 26 12016 38 1437 1 16089 0 0 "Autosome" "0"
"699" "35" "LR999928.1" 3500000 3600000 208 43616 30 5361 22 2891 0 0 16 16103 3 343 29 9001 29 1232 0 0 0 0 "Autosome" "0"
"700" "36" "LR999928.1" 3600000 3700000 143 18238 29 5095 7 1605 1 264 10 1460 0 0 14 4389 30 1178 0 0 1 3478 "Autosome" "1"
"701" "37" "LR999928.1" 3700000 3800000 139 15775 28 4574 10 1006 3 517 11 1756 2 365 17 2806 23 849 1 2535 0 0 "Autosome" "0"
"702" "38" "LR999928.1" 3800000 3900000 172 25156 26 4509 15 2366 0 0 5 2320 1 67 20 6863 39 1595 0 0 0 0 "Autosome" "0"
"703" "39" "LR999928.1" 3900000 4e+06 174 24884 29 5584 15 3607 0 0 11 3178 1 152 17 2561 32 1282 0 0 0 0 "Autosome" "0"
"704" "40" "LR999928.1" 4e+06 4100000 163 29582 33 6292 13 3356 2 1608 12 4221 11 2833 17 5053 26 1167 1 13147 0 0 "Autosome" "0"
"705" "41" "LR999928.1" 4100000 4200000 202 32770 26 5005 22 4090 0 0 11 2363 3 3180 31 8532 43 1719 0 0 0 0 "Autosome" "0"
"706" "42" "LR999928.1" 4200000 4300000 169 29711 21 3800 9 2834 0 0 12 2530 1 85 24 11242 29 1043 0 0 0 0 "Autosome" "0"
"707" "43" "LR999928.1" 4300000 4400000 173 34084 15 3294 10 1951 0 0 23 9257 6 1401 18 8231 26 1108 2 6553 0 0 "Autosome" "0"
"708" "44" "LR999928.1" 4400000 4500000 108 16282 10 2293 7 1996 1 69 9 2401 6 3076 3 849 30 1292 8 14372 0 0 "Autosome" "0"
"709" "45" "LR999928.1" 4500000 4600000 182 27145 29 5853 25 4148 4 1479 8 1030 2 119 20 7002 36 1557 4 13777 0 0 "Autosome" "0"
"710" "46" "LR999928.1" 4600000 4700000 184 31652 20 3671 16 3650 1 566 23 5816 3 1987 15 5308 29 1234 1 3536 0 0 "Autosome" "0"
"711" "47" "LR999928.1" 4700000 4800000 195 27535 28 5128 16 2653 0 0 8 1263 6 1268 24 6372 39 1650 0 0 1 3893 "Autosome" "1"
"712" "48" "LR999928.1" 4800000 4900000 157 22218 29 5969 26 4005 0 0 6 1221 2 141 17 4694 28 1303 2 24647 0 0 "Autosome" "0"
"713" "49" "LR999928.1" 4900000 5e+06 164 24602 42 8041 7 2463 0 0 8 955 1 39 19 5391 29 1194 3 4946 0 0 "Autosome" "0"
"714" "50" "LR999928.1" 5e+06 5100000 155 16466 29 6097 11 1253 0 0 4 334 3 199 13 1419 33 1405 3 10204 0 0 "Autosome" "0"
"715" "51" "LR999928.1" 5100000 5200000 157 16743 36 6730 9 952 0 0 2 257 0 0 9 1075 36 1702 9 58072 0 0 "Autosome" "0"
"716" "52" "LR999928.1" 5200000 5300000 109 11928 17 2832 9 2159 0 0 5 911 2 142 4 528 34 1658 6 20272 0 0 "Autosome" "0"
"717" "53" "LR999928.1" 5300000 5400000 153 20264 20 4359 14 1857 3 585 3 382 0 0 11 3915 36 1627 5 31523 0 0 "Autosome" "0"
"718" "54" "LR999928.1" 5400000 5500000 139 15467 14 2800 12 1595 1 84 5 1099 0 0 13 1836 28 1151 0 0 0 0 "Autosome" "0"
"719" "55" "LR999928.1" 5500000 5600000 155 19303 33 4457 7 1052 1 127 4 545 3 235 19 5146 30 1101 0 0 0 0 "Autosome" "0"
"720" "56" "LR999928.1" 5600000 5700000 122 15824 20 3451 7 903 0 0 7 2029 0 0 17 3743 27 1351 1 982 0 0 "Autosome" "0"
"721" "57" "LR999928.1" 5700000 5800000 137 15666 43 7062 2 185 0 0 12 1798 1 54 17 2543 29 1201 0 0 0 0 "Autosome" "0"
"722" "58" "LR999928.1" 5800000 5900000 114 19636 16 3271 10 1135 0 0 8 4211 0 0 10 4469 22 993 2 5537 1 7967 "Autosome" "1"
"723" "59" "LR999928.1" 5900000 6e+06 125 13540 23 4460 10 877 0 0 2 375 4 359 9 1098 28 1100 5 29100 0 0 "Autosome" "0"
"724" "60" "LR999928.1" 6e+06 6100000 94 12609 18 3028 4 259 0 0 8 2198 1 49 12 4254 32 1385 5 17450 0 0 "Autosome" "0"
"725" "61" "LR999928.1" 6100000 6200000 106 13660 12 2003 6 838 0 0 4 1317 1 111 8 4679 40 1663 4 41634 0 0 "Autosome" "0"
"726" "62" "LR999928.1" 6200000 6300000 125 15543 12 2862 8 1048 0 0 11 1667 2 164 13 2844 26 1099 6 30476 0 0 "Autosome" "0"
"727" "63" "LR999928.1" 6300000 6400000 101 10895 13 2621 4 1139 0 0 5 1086 1 84 3 555 35 1839 5 18607 0 0 "Autosome" "0"
"728" "64" "LR999928.1" 6400000 6500000 105 15049 15 3126 6 912 0 0 4 399 1 32 6 3902 42 2438 9 35332 0 0 "Autosome" "0"
"729" "65" "LR999928.1" 6500000 6600000 116 19820 8 1736 6 1240 0 0 9 4018 1 173 13 6363 39 1639 7 30556 0 0 "Autosome" "0"
"730" "66" "LR999928.1" 6600000 6700000 79 6720 8 1545 3 307 0 0 3 276 1 55 2 316 35 1542 5 20733 0 0 "Autosome" "0"
"731" "67" "LR999928.1" 6700000 6800000 102 10027 8 1283 8 934 0 0 3 266 0 0 16 2537 30 1375 2 3553 0 0 "Autosome" "0"
"732" "68" "LR999928.1" 6800000 6900000 92 15200 2 465 9 1217 0 0 3 970 6 4996 13 3871 30 1067 14 39818 0 0 "Autosome" "0"
"733" "69" "LR999928.1" 6900000 7e+06 93 14176 15 2555 6 962 1 384 13 5470 1 38 10 2300 26 1133 5 33031 0 0 "Autosome" "0"
"734" "70" "LR999928.1" 7e+06 7100000 80 7375 8 1959 4 463 0 0 0 0 0 0 5 937 34 1445 2 20321 0 0 "Autosome" "0"
"735" "71" "LR999928.1" 7100000 7200000 135 14215 24 3444 5 329 0 0 4 821 2 343 16 2317 34 1388 0 0 0 0 "Autosome" "0"
"736" "72" "LR999928.1" 7200000 7300000 114 13624 16 3750 7 1642 0 0 12 2120 2 173 11 1682 31 1224 1 12166 0 0 "Autosome" "0"
