orthogroup gr01 gr02	sp01 sp02	spM01 spM02	spT01 spT02	spV01 spV02	spMs01 spMs02	spVs01 spVs02
OG0009646 -11.1123690009362 -11.1110174486711	-10.6744695522497 -10.6755305437904	-10.1426683995649 -10.1426058453807	-10.6753543418913 -10.6755305437904	-10.1420626514643 -10.1103135325107	-10.1426015155847 -10.1394346887935	-10.1402303556165 -10.1422037611807
OG0009647 -8.94226427852251 -8.94226409757513	-8.9359756561607 -8.93472079198944	-8.92511990079023 -6.2432883426571	-8.00897627819522 -7.9999977056385	-8.24474438174197 -8.00023217629139	-8.92501908582257 -8.92490458417107	-8.69314737405115 -8.69314723791418
OG0009648 -9.63541152083749 -9.63541146767028	-9.62786702989013 -9.6278663262923	-8.69317514913164 -8.69365291580893	-9.62789330130237 -9.6278663262923	-9.68102232149415 -9.61805195634653	-9.38629493737741 -9.38628785887859	-9.61805096933638 -9.61805208711175
OG0009649 -8.94226396039392 -8.94226409565315	-8.93472728613597 -8.93472079173713	-9.05505955422752 -8.93549540460539	-8.93471831146577 -8.93472079173713	-8.95723275609627 -8.92490786041116	-8.92498736481219 -8.9249045848481	-8.9247181762176 -8.92490427291871
OG0009650 -8.94142813396036 -8.94226409565315	-8.94059574908865 -8.93472079173713	-9.03992769321012 -8.93549540460539	-8.93472029126038 -8.93472079173713	-8.9250643282336 -8.92490786041116	-8.96117712471477 -8.9249045848481	-8.92490403685837 -8.92490427291871
OG0009651 -9.63540740668825 -9.63541146770848	-9.71797231534912 -9.62786632630353	-9.62193655766323 -9.62023553430734	-9.62787234692912 -9.62786632630353	-9.69509991932577 -9.61805195640418	-9.61840945526591 -9.61805131906633	-9.61805102756401 -9.61805208711544
OG0009652 -8.94261079364036 -8.94226409757513	-8.00023748079196 -7.9999977056385	-8.05490167212191 -8.00000340430145	-8.9347199327565 -8.93472079198944	-8.00005513455774 -2.10147929833397	-8.69345451270116 -8.69378963790628	-8.7802060557398 -8.69314723791418
OG0009653 -8.94226439163333 -8.94226409565315	-8.93471984091282 -8.93472079173713	-8.92580166204152 -8.93549540460539	-8.93471982230998 -8.93472079173713	-8.92539210906445 -8.92490786041116	-8.9251066932125 -8.9249045848481	-9.2605225361755 -8.92490427291871
OG0009654 -6.64586792059751 -6.64587235659233	-6.54818611557469 -6.56426598410682	-6.38736524068621 -6.38931406960949	-6.58769945492142 -6.56426598410682	-6.51219924978523 -6.41808702036082	-6.39607961116347 -6.39944772252559	-6.4314411934955 -6.41737111834671
OG0009655 -8.94173715473346 -8.94226409565315	-8.9347195275026 -8.93472079173713	-9.32608983263797 -8.93549540460539	-8.62100720523899 -8.93472079173713	-9.51234231792841 -8.92490786041116	-8.92490367713915 -8.9249045848481	-8.92392891094531 -8.92490427291871
OG0009656 -8.94226258355036 -8.94226409565315	-8.93471994138295 -8.93472079173713	-6.68236268897934 -8.93549540460539	-8.9347217456305 -8.93472079173713	-8.92505814264441 -8.92490786041116	-8.92490458676191 -8.9249045848481	-8.93206782420548 -8.92490427291871
OG0009657 -9.63616191561692 -9.63541148269708	-8.76795386615238 -8.69315111576629	-7.62994990873127 -7.62506799524174	-9.62788905514177 -9.62786632631119	-9.29246949442702 -8.85607340462628	-7.62496209850299 -7.62492287246197	-9.37674438584328 -9.38629311416855
OG0009658 -8.94226141351309 -8.94226409565291	-8.93471865553933 -8.93472079169948	-9.0377735562273 -6.24279638428845	-8.93471975843448 -8.93472079169948	-6.18644232497272 -8.92490786034512	-8.92488939230111 -8.92490458417934	-8.92490560135399 -8.92490427291868
OG0009659 -8.94226275615636 -8.94226409565291	-8.93472056398136 -8.93472079169948	-8.92606341105218 -6.24279638428845	-8.93465436368929 -8.93472079169948	-9.22328859496453 -8.92490786034512	-8.92490415340859 -8.92490458417934	-6.51213701867485 -8.92490427291868
OG0009660 -9.63541287228352 -9.63541148269707	-8.6931473523371 -8.69315111576629	-8.6762926880575 -8.69350784300561	-9.62786690729115 -9.62786632631119	-8.69889352227966 -8.85607340462628	-9.38915035139379 -9.38629732643897	-9.38629404650093 -9.38629311416855
OG0009661 -8.94226403829122 -8.94226409565315	-8.93471996121522 -8.93472079173713	-8.92521168302707 -8.93549540460539	-8.95236887344094 -8.93472079173713	-8.92652622274775 -8.92490786041116	-8.92491606284478 -8.9249045848481	-8.92490365620529 -8.92490427291871
OG0009662 -8.94226360064985 -8.94226409757513	-8.00006399337881 -7.9999977056385	-8.00227685176248 -8.00000340430145	-8.93484823397788 -8.93472079198944	-7.99999542242628 -2.10147929833397	-8.69525024926214 -8.69378963790628	-8.69354507789063 -8.69314723791418
OG0009663 -8.94224745600386 -8.94226409565291	-8.9804142998407 -8.93472079169946	-4.02542705273254 -8.05268386206287	-8.93471921373374 -8.93472079169946	-8.92504117243439 -8.92490786034512	-8.69309484868237 -8.69301802447311	-8.93253884620851 -8.92490427291868
OG0009664 -9.63541157305152 -9.6354114827023	-8.69317497263674 -8.69315111576629	-8.71833861762752 -8.6935078430057	-9.62786735201804 -9.62786632631254	-8.77271305243964 -8.85607340462628	-9.4165930501015 -9.38629732643963	-9.38629870973813 -9.38629311416847
OG0009665 -8.94225935147787 -8.94226409565291	-8.93678958266255 -8.93472079169948	-8.92869404004444 -6.24279638428845	-8.93471877079042 -8.93472079169948	-8.93784870249361 -8.92490786034512	-8.92647505899845 -8.92490458417934	-8.92491409347755 -8.92490427291868
OG0009666 -9.63661115585976 -9.63541148269708	-8.6934191323544 -8.69315111576629	-7.62658140445748 -7.62506799524174	-9.6278679568982 -9.62786632631119	-8.69316907392754 -8.85607340462628	-7.6253461920089 -7.62492287246197	-9.38631594968385 -9.38629311416855
OG0009667 -8.94226370841334 -8.94226409757513	-7.99999999492586 -7.9999977056385	-8.2208971793525 -8.00000340430145	-8.94310639005088 -8.93472079198944	-8.01170957802019 -2.10147929833397	-8.6931471970285 -8.69378963790628	-8.69547612221933 -8.69314723791418
OG0009668 -8.94226428330082 -8.94226409757513	-8.00000020748718 -7.9999977056385	-8.00000862332678 -8.00000340430145	-8.93471981813205 -8.93472079198944	-8.00093359850995 -2.10147929833397	-8.69316028872745 -8.69378963790628	-5.25277044010647 -8.69314723791418
OG0009669 -6.68437751575752 -6.64587235659233	-6.57126036874903 -6.56426598410682	-6.39932433160927 -6.38931406960949	-6.55725855171884 -6.56426598410682	-6.50473768786693 -6.41808702036082	-6.38121449492723 -6.39944772252559	-6.5028763584381 -6.41737111834671
OG0009670 -8.94229037286174 -8.94226409757513	-8.00100678658386 -7.9999977056385	-8.10833484839887 -8.00000340430145	-8.93471994131446 -8.93472079198944	-8.01943234000443 -2.10147929833397	-8.85177355030456 -8.69378963790628	-2.87242038766337 -8.69314723791418
OG0009671 -10.3285600306221 -10.3285588632493	-10.3210203178487 -10.3210143320247	-10.4427297233615 -10.3112002972731	-9.386294513743 -9.3864479762781	-9.38679288431992 -9.38671073883778	-10.3112019837901 -10.3111985824983	-10.0794542293214 -10.0794404615949
OG0009672 -9.63541111364666 -9.63541148273527	-8.69482587462565 -8.69315111576629	-8.69336877033679 -8.6935078430058	-9.62986619467269 -9.62786632632241	-8.70914843198861 -8.85607340462628	-9.38982076920467 -9.38629732644181	-9.38629440975411 -9.38629311416806
OG0009673 -9.63541149756718 -9.63541117587475	-8.69314686596307 -8.69315111712728	-8.69355851779223 -8.69350804500356	-9.03294529014149 -9.03294441702177	-8.23190955455896 -8.23362933264429	-9.38641909431868 -9.38629733812591	-9.61805128300553 -9.61804936673581
OG0009674 -8.94280658482873 -8.94226409757513	-8.00001155756819 -7.9999977056385	-8.00000054298622 -8.00000340430145	-8.93471733749096 -8.93472079198944	-8.01213604664706 -2.10147929833397	-8.73868971642905 -8.69378963790628	-8.69547364625659 -8.69314723791418
OG0009675 -9.63541112253286 -9.6354114827023	-8.69315609513426 -8.69315111576629	-8.8901322164669 -8.6935078430057	-9.62788246542622 -9.62786632631254	-8.71489220830967 -8.85607340462628	-9.38638714794803 -9.38629732643963	-9.38629401287509 -9.38629311416847
OG0009676 -9.63545775527871 -9.63541117584138	-8.6931500728074 -8.69315111712728	-8.74363121933983 -8.6935080450034	-9.24122731782854 -9.03294441620812	-9.64435405161522 -8.23362933264411	-9.38858673992814 -9.38629733812367	-9.64259292078571 -9.61804936579207
OG0009677 -8.94226206187576 -8.94226409565291	-8.93471975300521 -8.93472079169948	-7.79454021624742 -6.24279638428845	-8.93471945301534 -8.93472079169948	-9.39878839280912 -8.92490786034512	-8.92490246440738 -8.92490458417934	-8.92303210653195 -8.92490427291868
OG0009678 -9.63541152723038 -9.6354114827023	-9.62786852860618 -9.62786632631254	-9.97607358073905 -9.62698837863503	-8.69333788910133 -8.69315111576629	-8.69315449065915 -8.69332798604307	-9.99265116140811 -9.61805131863357	-9.38629146853516 -9.38629311416847
OG0009679 -9.63541147979088 -9.63541148276826	-9.62786655824674 -9.62786632633228	-9.69090936181206 -9.63322414855036	-8.69316362311319 -8.69315111576629	-8.69327686030157 -8.69332798604409	-9.6180515311776 -9.61805131935026	-9.58480599256123 -9.38629311416765
OG0009680 -8.94226424363849 -8.94226409565291	-8.93587532822324 -8.93472079169948	-8.92831454206827 -6.24279638428845	-8.93463113910036 -8.93472079169948	-8.92559371967743 -8.92490786034512	-7.17796930586006 -8.92490458417934	-8.92490869516565 -8.92490427291868
OG0009681 -8.94226428212699 -8.94226409757513	-8.00045513400138 -7.9999977056385	-7.99647617545243 -8.00000340430145	-8.95287563786405 -8.93472079198944	-8.00143862562097 -2.10147929833397	-8.69325625205052 -8.69378963790628	-8.69314692754911 -8.69314723791418
OG0009682 -8.94225922437826 -8.94226409565291	-8.9418761950508 -8.93472079169948	-8.93253071423864 -6.24279638428845	-8.93471979746878 -8.93472079169948	-8.92559350309256 -8.92490786034512	-8.92490465922026 -8.92490458417934	-8.92490422512927 -8.92490427291868
OG0009683 -8.94226395889543 -8.94226409565291	-8.93471956056216 -8.93472079169948	-8.92490503852109 -6.24279638428845	-8.93472007082027 -8.93472079169948	-8.94961289481269 -8.92490786034512	-8.92505879547039 -8.92490458417934	-8.92490406787989 -8.92490427291868
OG0009684 -9.63541073933325 -9.63541117584138	-8.69314867326588 -8.69315111712728	-12.3714141197546 -8.6935080450034	-9.03293963173522 -9.03294441620812	-8.77475289638418 -8.23362933264411	-9.386294803205 -9.38629733812367	-9.62516427835343 -9.61804936579207
OG0009685 -8.94226491995084 -8.94226409757513	-8.0000522746567 -7.9999977056385	-8.00597729400623 -8.00000340430145	-8.93471959845269 -8.93472079198944	-8.05870383500456 -2.10147929833397	-8.69314771424246 -8.69378963790628	-6.60406893867256 -8.69314723791418
OG0009686 -9.86579674726409 -9.63541136251479	-8.69501752799219 -8.6931511144053	-8.69654025638496 -8.69350764100836	-8.69575139172416 -8.6931511144053	-7.62875447989653 -7.62783577321434	-9.38629759314637 -9.38629731476065	-7.88628872303958 -7.62492086244216
OG0009687 -10.3285588098035 -10.3285588465556	-10.2337389604212 -10.3210142640827	-10.314806197986 -10.3112169390717	-9.38629774403701 -9.38644797469486	-9.51389956153163 -9.38671073680841	-10.3112537044894 -10.3111985821151	-10.0795646197228 -10.0794404613731
OG0009688 -8.94226392062401 -8.94226409757513	-7.99998170524312 -7.9999977056385	-8.550273102956 -8.00000340430145	-8.93471981269912 -8.93472079198944	-8.00085158378316 -2.10147929833397	-8.69316738431352 -8.69378963790628	-8.69314635726298 -8.69314723791418
OG0009689 -9.6355212881943 -9.63541148277347	-9.63442838978922 -9.62786632633364	-9.66242171740841 -9.62382366742718	-8.69336406109053 -8.69315111576629	-8.6931476610298 -8.69332798604419	-9.61850422952453 -9.61805131942141	-9.38629424657599 -9.38629311416756
OG0009690 -9.63542821406926 -9.63541148273005	-8.69314724098253 -8.69315111576629	-8.70954421798261 -8.69350784300577	-9.62786669038099 -9.62786632632106	-8.69314844974266 -8.85607340462628	-9.38629443001811 -9.38629732644121	-9.3863112664766 -9.38629311416814
OG0009691 -9.6354277473648 -9.63541146774667	-9.62786721880787 -9.62786632631475	-9.62041428733603 -9.61854160031962	-9.62786951444615 -9.62786632631475	-9.61799144141776 -9.61805195646182	-9.61805450366596 -9.61805131949571	-9.61795198759789 -9.61805208711912
OG0009692 -8.94226369902899 -8.94226409565291	-8.93471981215566 -8.93472079169948	-8.92617320215366 -6.24279638428845	-8.93471984613558 -8.93472079169948	-8.9807551001761 -8.92490786034512	-8.92490406332385 -8.92490458417934	-8.92487914909151 -8.92490427291868
OG0009693 -8.94226423332182 -8.94226409565315	-8.93472291542889 -8.93472079173713	-9.00221879119652 -8.93549540460539	-8.9347504552949 -8.93472079173713	-7.68143780318413 -8.92490786041116	-8.92493961396666 -8.9249045848481	-8.92490412731639 -8.92490427291871
OG0009694 -8.94226409548156 -8.94226409565291	-8.93472658261609 -8.93472079169948	-8.92522475177486 -6.24279638428845	-8.95424350704273 -8.93472079169948	-9.0686561996325 -8.92490786034512	-6.35788284463983 -8.92490458417934	-8.92490407505588 -8.92490427291868
OG0009695 -8.94226596288217 -8.94226409565315	-8.93471946557433 -8.93472079173713	-8.92490473045195 -8.93549540460539	-8.93471840737796 -8.93472079173713	-8.94166980357362 -8.92490786041116	-8.92490200669729 -8.9249045848481	-8.92490412935356 -8.92490427291871
OG0009696 -8.94225845308817 -8.94226409565517	-8.93466604480624 -8.93472079193619	-9.02115319672356 -8.93707629986603	-8.93497662247001 -8.93472079193619	-8.9250448187036 -8.92490786074608	-8.92490498361137 -8.92490458753266	-8.9249042893947 -8.92490427291906
OG0009697 -8.94226434660296 -8.94226409757513	-2.87043060907732 -7.9999977056385	-8.00004035031745 -8.00000340430145	-8.93471981717762 -8.93472079198944	-8.06420275650506 -2.10147929833397	-8.69322098752463 -8.69378963790628	-8.69315659705913 -8.69314723791418
OG0009698 -8.94226272724299 -8.94226409565315	-5.94474024181011 -8.93472079173713	-8.93536364325953 -8.93549540460539	-8.93471993878257 -8.93472079173713	-9.08079088315505 -8.92490786041116	-8.92500578187195 -8.9249045848481	-8.92490366045519 -8.92490427291871
OG0009699 -8.94226412348589 -8.94226409565315	-8.93472489788844 -8.93472079173713	-9.40903392904102 -8.93549540460539	-8.93471998009936 -8.93472079173713	-8.92500003085147 -8.92490786041116	-8.96235826690203 -8.9249045848481	-8.92490581837789 -8.92490427291871
OG0009700 -8.94226372676374 -8.94226409757513	-8.00020060670261 -7.9999977056385	-8.00217433005412 -8.00000340430145	-8.93471434113505 -8.93472079198944	-8.10398930799585 -2.10147929833397	-3.15416070885868 -8.69378963790628	-8.70658727942754 -8.69314723791418
OG0009701 -8.94226430124565 -8.94226409565315	-8.93471982686643 -8.93472079173713	-8.92536256299257 -8.93549540460539	-8.93505499597893 -8.93472079173713	-8.98103437100864 -8.92490786041116	-6.92211764154096 -8.9249045848481	-8.92490590622687 -8.92490427291871
OG0009702 -8.94226431792559 -8.94226409565291	-8.93472077475149 -8.93472079169948	-6.40362872665386 -6.24279638428845	-8.93471986589706 -8.93472079169948	-8.33239640827214 -8.92490786034512	-8.92489752843213 -8.92490458417934	-8.92490393850185 -8.92490427291868
OG0009703 -9.6354111218081 -9.63541146770847	-9.62786713946756 -9.62786632630353	-8.99701209674539 -8.69365291581071	-9.56906410915317 -9.62786632630353	-9.61841342704956 -9.61805195640418	-inf -9.38628785887927	-9.61836915766539 -9.61805208711544
OG0009704 -8.94227179355996 -8.94226409757513	-7.99998106993583 -7.9999977056385	-8.01119368178484 -8.00000340430145	-8.93471988584112 -8.93472079198944	-8.00000061981002 -2.10147929833397	-8.6931511236601 -8.69378963790628	-8.70337253112948 -8.69314723791418
OG0009705 -9.63541089329888 -9.6354111758361	-8.71976633124084 -8.69315111712729	-8.75191165909516 -8.6935080450034	-9.03294891887281 -9.03294441604387	-5.6699185364855 -8.23362933264409	-9.3954938668156 -9.38629733814073	-9.61804879317536 -9.6180493655832
OG0009706 -10.32855866387 -10.3285588600144	-9.38629443619954 -9.38644797606387	-8.31804744071941 -8.31827950880074	-10.3210713497737 -10.3210143171724	-9.38655424991164 -9.38749018336975	-8.31804313388218 -8.31814687911943	-10.0794415935567 -10.0794404615692
OG0009707 -9.63803614330233 -9.63541148273527	-8.69408636400761 -8.69315111576629	-8.23191827542795 -8.25199148494802	-9.6278670788511 -9.62786632632241	-8.69314884921959 -8.85607340462628	-9.61758093533223 -9.61789328745495	-9.38636432092784 -9.38629311416806
OG0009708 -9.60631549110169 -9.60631550819257	-9.37811721925045 -9.3809081223868	-9.03909803747786 -9.04967997563572	-9.38683609260911 -9.3809081223868	-9.13883819434468 -9.05181657769451	-9.05489902881845 -9.05192755294005	-9.06082665708459 -9.05164756899642
OG0009709 -8.94226278829344 -8.94226409565291	-8.93472013662334 -8.93472079169946	-8.00000061578583 -8.05268386206287	-9.0185940960805 -8.93472079169946	-8.96995674408464 -8.92490786034512	-8.69292976197476 -8.69301802447311	-8.92633257250708 -8.92490427291868
OG0009710 -8.94226306034836 -8.94226409565291	-8.93472842528967 -8.93472079169948	-9.1265921293102 -6.24279638428845	-5.56684963550153 -8.93472079169948	-8.92490713489885 -8.92490786034512	-8.9249042041076 -8.92490458417934	-8.92477642208196 -8.92490427291868
OG0009711 -8.94226356083218 -8.94226409565291	-8.93473096371462 -8.93472079169948	-8.9275177172552 -6.24279638428845	-8.93471981204046 -8.93472079169948	-8.92491728147758 -8.92490786034512	-8.92490409189233 -8.92490458417934	-8.9249108976603 -8.92490427291868
OG0009712 -8.9422633058218 -8.94226409565315	-8.93472832157285 -8.93472079173713	-9.09071295037855 -8.93549540460539	-8.93472042855552 -8.93472079173713	-8.96495697733084 -8.92490786041116	-8.92490422187142 -8.9249045848481	-8.925192930545 -8.92490427291871
OG0009713 -8.94226438144176 -8.94226409757513	-8.01098648040285 -7.9999977056385	-8.35350627267515 -8.00000340430145	-8.93471923649645 -8.93472079198944	-8.00000507360765 -2.10147929833397	-8.69601376582497 -8.69378963790628	-8.69318513200826 -8.69314723791418
OG0009714 -9.63541159064298 -9.6354114827405	-8.69332064471599 -8.69315111576629	-8.69314729657438 -8.69350784300596	-9.62836121575617 -9.62786632632377	-8.8578270760482 -8.85607340462628	-9.08519901636089 -9.38629732644251	-9.38629460895476 -9.38629311416797
OG0009715 -8.94226425149561 -8.94226409565315	-8.93473141954969 -8.93472079173713	-8.92492534526504 -8.93549540460539	-8.93473057126699 -8.93472079173713	-12.1698851466869 -8.92490786041116	-8.92597338332293 -8.9249045848481	-8.92494531643553 -8.92490427291871
OG0009716 -8.94226317845538 -8.94226409565291	-8.93472322566607 -8.93472079169948	-8.93124896505993 -6.24279638428845	-8.93472439835705 -8.93472079169948	-8.92490822846269 -8.92490786034512	-6.2889954031215 -8.92490458417934	-8.92602273214859 -8.92490427291868
OG0009717 -9.63541136690643 -9.63541148276826	-8.69443620949423 -8.69315111576629	-8.69314998081877 -8.69350784300603	-9.62923752538204 -9.62786632633228	-8.70257180832014 -8.85607340462628	-9.47175196556272 -9.38629732644409	-9.38630875251769 -9.38629311416765
OG0009718 -8.94226386089781 -8.94226409565291	-8.93472149357005 -8.93472079169948	-8.96722504139824 -6.24279638428845	-8.93472349077388 -8.93472079169948	-9.22299033578214 -8.92490786034512	-8.92489947184345 -8.92490458417934	-6.90846467271467 -8.92490427291868
OG0009719 -8.94225526098336 -8.94226409565291	-8.93472281681331 -8.93472079169948	-8.92834903155805 -6.24279638428845	-9.01756567278262 -8.93472079169948	-8.92605037439625 -8.92490786034512	-8.92490254361634 -8.92490458417934	-8.92490411179478 -8.92490427291868
OG0009720 -8.94226366262783 -8.94226409565315	-8.93470161886377 -8.93472079173713	-8.95896543961832 -8.93549540460539	-8.93471981493113 -8.93472079173713	-8.92592294896461 -8.92490786041116	-8.92530802645362 -8.9249045848481	-8.92608533036292 -8.92490427291871
OG0009721 -9.63540968552501 -9.63541148276826	-9.62786700941972 -9.62786632633228	-9.7508989491592 -9.63322414855036	-8.69318175355672 -8.69315111576629	-8.69472155086865 -8.69332798604409	-9.61805140026605 -9.61805131935026	-9.38615549055388 -9.38629311416765
OG0009722 -8.94226293914314 -8.94226409757513	-8.93471748766437 -8.93472079198944	-8.94175938071408 -6.2432883426571	-8.00001503902391 -7.9999977056385	-8.00153632319383 -8.00023217629139	-8.9249247424736 -8.92490458417107	-8.69314752706049 -8.69314723791418
OG0009723 -6.64586789168949 -6.64587235659233	-6.54469277369577 -6.56426598410682	-6.41670150106446 -6.38931406960949	-6.57742306187644 -6.56426598410682	-6.42378276785613 -6.41808702036082	-6.4047823173245 -6.39944772252559	-6.41111660680166 -6.41737111834671
OG0009724 -8.94223233588503 -8.94226409565315	-8.93472391794476 -8.93472079173713	-8.92862338378374 -8.93549540460539	-8.93483435269878 -8.93472079173713	-8.98230112713655 -8.92490786041116	-8.92542864543698 -8.9249045848481	-8.92483216001309 -8.92490427291871
OG0009725 -8.94226395563546 -8.94226409565291	-8.93470129948833 -8.93472079169948	-8.92596039810454 -6.24279638428845	-8.93467197606594 -8.93472079169948	-8.92674577411646 -8.92490786034512	-8.92487388517144 -8.92490458417934	-8.92490416332277 -8.92490427291868
OG0009726 -8.94222779272172 -8.94226409565315	-8.93861493427301 -8.93472079173713	-8.92590013952436 -8.93549540460539	-8.93471995291235 -8.93472079173713	-8.92495652782215 -8.92490786041116	-8.92490526082896 -8.9249045848481	-8.92490425242161 -8.92490427291871
OG0009727 -8.94226159133192 -8.94226409565517	-9.09707951911074 -8.93472079193619	-8.97700014074007 -8.93707629986603	-8.9347203989198 -8.93472079193619	-8.92506152290667 -8.92490786074608	-8.92490445251354 -8.92490458753266	-8.92669068407248 -8.92490427291906
OG0009728 -8.94226433272902 -8.94226409565315	-8.93471993795793 -8.93472079173713	-9.33300923819651 -8.93549540460539	-9.211973043662 -8.93472079173713	-8.93662483219343 -8.92490786041116	-8.92490434491525 -8.9249045848481	-8.92490430312183 -8.92490427291871
OG0009729 -8.94225920837351 -8.94226409565315	-8.93469485795667 -8.93472079173713	-8.93210716782298 -8.93549540460539	-8.93471985671393 -8.93472079173713	-8.92586062899782 -8.92490786041116	-8.92490459434752 -8.9249045848481	-8.92490536168228 -8.92490427291871
OG0009730 -9.63541140465208 -9.63541145263479	-9.03294533389497 -9.03294441066473	-9.10336042696174 -8.98972334860107	-9.62786086859292 -9.62786632627381	-9.00448177928866 -8.98968025687569	-9.16231754274122 -9.15977932050198	-9.15945649538282 -9.15911322084267
OG0009731 -9.63541016666296 -9.63541148274049	-8.69314821274417 -8.69315111576629	-9.18593379299081 -8.69350784300589	-9.62858168850064 -9.62786632632377	-8.7902045942371 -8.85607340462628	-9.39011466385445 -9.38629732644246	-9.38630467621949 -9.38629311416797
OG0009732 -8.94226223391108 -8.94226409565315	-6.35578998331089 -8.93472079173713	-8.93054061982096 -8.93549540460539	-8.93471979908476 -8.93472079173713	-8.95895424777018 -8.92490786041116	-8.92490412558074 -8.9249045848481	-8.9249052303892 -8.92490427291871
OG0009733 -8.89199013679902 -8.94226409565291	-8.93471982685729 -8.93472079169946	-8.0000022592664 -8.05268386206287	-8.93472958929391 -8.93472079169946	-8.97227579060179 -8.92490786034512	-8.69308540500405 -8.69301802447311	-8.92490419699344 -8.92490427291868
OG0009734 -9.63541013046532 -9.63541146766679	-9.63212879915339 -9.62786632629405	-10.0021139952338 -8.73710076947837	-9.62781761635119 -9.62786632629405	-9.6180641183149 -9.61805195635649	-9.61805127047771 -9.61805131863946	-8.91687547277722 -9.61805208711306
OG0009735 -8.94226434373617 -8.94226409757513	-8.9347199804127 -8.93472079198944	-8.95708108469888 -6.2432883426571	-8.27626564547623 -7.9999977056385	-8.21732953700332 -8.00023217629139	-8.92495427927972 -8.92490458417107	-8.6934133289237 -8.69314723791418
OG0009736 -8.94226553289273 -8.94226409757513	-7.99999883913478 -7.9999977056385	-8.21259297933051 -8.00000340430145	-8.93464698079763 -8.93472079198944	-8.0079708568888 -2.10147929833397	-3.93404903544261 -8.69378963790628	-8.69298570398914 -8.69314723791418
OG0009737 -8.94226309994399 -8.94226409565291	-8.93471938677978 -8.93472079169948	-9.15171912502778 -6.24279638428845	-8.93471924979416 -8.93472079169948	-6.58084201894595 -8.92490786034512	-8.92490422674495 -8.92490458417934	-8.92392454964884 -8.92490427291868
OG0009738 -9.63541151009611 -9.63541146767028	-9.62786700770404 -9.6278663262923	-9.61805373713918 -9.63042598141176	-9.62786162479944 -9.6278663262923	-9.62331495966952 -9.61805195634653	-9.61805142829402 -9.61805131863684	-9.61805125093301 -9.61805208711175
OG0009739 -10.8073772906599 -10.7906103670211	-10.3723583329816 -10.391798894856	-9.86987080889833 -9.87993963859847	-10.3871421008352 -10.391798894856	-9.90440763560675 -9.90491567830006	-9.90306203786468 -9.8969345082499	-9.90490476016985 -9.90253664342497
OG0009740 -10.3285586549592 -10.3285607408194	-9.38669199744746 -9.38644806742487	-9.43925232273374 -9.39205078707619	-9.72609209050063 -9.72609258104602	-8.93428939012311 -8.92495607009735	-10.0797235683067 -10.079526224323	-10.3127637046373 -10.3112054371775
OG0009741 -8.94231037621213 -8.94226409565315	-8.93501973080093 -8.93472079173713	-8.92554287516638 -8.93549540460539	-8.93557341210832 -8.93472079173713	-9.04984873628218 -8.92490786041116	-8.92491981089221 -8.9249045848481	-8.92490419899185 -8.92490427291871
OG0009742 -8.94227082032951 -8.94226409565291	-8.93471809979356 -8.93472079169948	-8.93701176081606 -6.24279638428845	-8.9346768975855 -8.93472079169948	-8.92613514878799 -8.92490786034512	-8.92516263301219 -8.92490458417934	-6.26102577352041 -8.92490427291868
OG0009743 -9.63541154362946 -9.63541146805214	-9.62788015780701 -9.62786632639334	-9.61868018953159 -9.6368421493481	-9.62786715526175 -9.62786632639334	-9.6573851245034 -9.61805195680738	-9.61941293257121 -9.61805132207239	-9.61805128870908 -9.6180520871412
OG0009744 -9.63541155424003 -9.63541148274049	-8.69314904641863 -8.69315111576629	-8.23186506623646 -8.25199149639834	-9.62786713097123 -9.62786632632377	-8.11934232597027 -8.85607340462628	-9.62053158913112 -9.61789328746284	-9.39411942507581 -9.38629311416797
OG0009745 -9.6355601935599 -9.63541117584138	-8.72259471606089 -8.69315111712728	-8.70046419683694 -8.6935080450034	-9.03367868717115 -9.03294441620812	-8.23851330111006 -8.23362933264411	-9.38694726894066 -9.38629733812367	-9.61857813592099 -9.61804936579207
OG0009746 -8.94226297811303 -8.94226409565315	-9.18422650344418 -8.93472079173713	-8.92541818453786 -8.93549540460539	-8.93471975952411 -8.93472079173713	-8.92840638304561 -8.92490786041116	-8.92490507243255 -8.9249045848481	-8.92490420763002 -8.92490427291871
OG0009747 -8.91113525391387 -8.94226409565315	-9.03171476871247 -8.93472079173713	-9.45679321528256 -8.93549540460539	-8.93497342648425 -8.93472079173713	-8.92490939612687 -8.92490786041116	-8.92492238499643 -8.9249045848481	-8.92490710778773 -8.92490427291871
OG0009748 -6.67005060824943 -6.64587235659233	-6.54451300393848 -6.56426598410682	-6.41079344057494 -6.38931406960949	-6.624070164072 -6.56426598410682	-6.41856069593463 -6.41808702036082	-6.42577475843951 -6.39944772252559	-6.43052318927716 -6.41737111834671
OG0009749 -8.94226435949953 -8.94226409565291	-5.6454673993723 -8.93472079169948	-8.9249221034401 -6.24279638428845	-8.93839507244883 -8.93472079169948	-6.13619973684808 -8.92490786034512	-8.92490425029297 -8.92490458417934	-8.92490829931937 -8.92490427291868
OG0009750 -8.94226436019319 -8.94226409565291	-8.93470376912633 -8.93472079169948	-8.92545824208107 -6.24279638428845	-8.93472059515632 -8.93472079169948	-8.93731359730877 -8.92490786034512	-8.9248218602968 -8.92490458417934	-8.92490479576076 -8.92490427291868
